r | 04 | 0
PE1 | 04 | M
r | 04 | 0
PE3 | 04 | M
PE3 | 04 | M
r | 04 | 0
PE3 | 04 | M
w | 04 | 70
PE3 | 04 | S
r | 04 | 70
PE2 | 04 | E
w | 04 | 74
PE3 | 04 | I
PE2 | 04 | M
r | 04 | 74
r | 04 | 74
PE3 | 04 | M
PE3 r | 04 | 78
w | 04 | 78
PE3 | 04 | S
r | 04 | 78
PE3 | 04 | E
w | 04 | 66
PE2 | 04 | I
r | 04 | 66
r | 04 | 66
PE3 | 04 | M
w | 04 | 70
PE3 | 04 | S
r | 04 | 70
PE2 | 04 | E
w | 04 | 74
PE3 | 04 | I
PE2 | 04 | S
r | 04 | 74
PE3 | 04 | S
PE3 | 04 | E
w | 04 | 80
PE2 | 04 | I
r | 04 | 80
r | 04 | 80
PE3 | 04 | M
w | 04 | 78
PE3 | 04 | S
r | 04 | 78
PE2 | 04 | E
w | 04 | 95
PE3 | 04 | I
r | 04 | 95
r | 04 | 95
PE3 | 04 | M
w | 04 | 78
PE3 | 04 | S
r | 04 | 78
PE2 | 04 | E
w | 04 | 95
PE3 | 04 | I
PE2 | 04 | S
r | 04 | 95
PE1 | 04 | E
w | 04 | 14
PE2 | 04 | I
r | 04 | 14
r | 04 | 14
PE1 | 04 | M
PE1 r | 04 | 78
w | 04 | 78
PE1 | 04 | S
r | 04 | 78
r | 04 | 78
PE3 | 04 | E
w | 04 | 14
PE1 | 04 | I
PE2 | 04 | I
r | 04 | 14
r | 00 | 0
PE1 | 00 | M
r | 04 | 14
PE1 | 04 | M
r | 08 | 0
PE1 | 08 | M
r | 12 | 0
PE1 | 12 | M
r | 16 | 0
PE1 | 16 | M
r | 08 | 0
PE1 | 08 | M
r | 20 | 0
PE1 | 20 | M
r | 28 | 0
PE1 | 28 | M
r | 04 | 14
PE1 | 04 | M
PE1 r | 08 | 10
w | 08 | 10
PE1 | 08 | S
r | 08 | 10
r | 44 | 0
PE1 | 44 | M
r | 04 | 14
PE3 | 04 | M
PE3 r | 04 | 78
w | 04 | 78
PE3 | 04 | S
r | 04 | 78
w | 60 | 120
r | 60 | 120
PE3 r | 60 | 120
r | 60 | 120
r | 52 | 0
PE2 | 52 | M
PE2 r | 52 | 78
r | 00 | 0
PE2 r | 00 | 0
PE2 r | 00 | 0
r | 00 | 0
PE2 | 00 | S
PE2 | 00 | E
w | 00 | 38
PE1 | 00 | I
PE2 r | 00 | 38
r | 00 | 38
PE2 r | 00 | 38
PE2 r | 00 | 38
r | 00 | 38
PE2 | 00 | S
PE2 r | 00 | 38
r | 00 | 38
PE2 r | 00 | 38
PE2 r | 00 | 38
r | 00 | 38
PE2 | 00 | S
PE2 | 00 | E
w | 00 | 38
PE1 | 00 | I
PE1 r | 00 | 38
r | 00 | 38
PE1 | 00 | S
PE2 | 00 | S
r | 00 | 38
PE1 | 00 | M
w | 00 | 10
PE1 | 00 | S
r | 00 | 10
PE2 | 00 | E
w | 00 | 20
PE1 | 00 | I
r | 04 | 78
PE2 | 04 | M
r | 08 | 10
PE2 | 08 | M
r | 12 | 0
PE2 | 12 | M
r | 16 | 0
PE2 | 16 | M
PE1 | 00 | M
r | 00 | 20
PE1 | 00 | M
w | 00 | 10
PE1 | 00 | S
r | 00 | 10
PE2 | 00 | E
w | 00 | 20
PE1 | 00 | I
r | 04 | 78
PE2 | 04 | M
r | 08 | 10
PE2 | 08 | M
r | 12 | 0
PE2 | 12 | M
r | 16 | 0
PE2 | 16 | M
PE1 r | 00 | 10
r | 00 | 20
PE1 | 00 | E
r | 00 | 20
PE1 | 00 | M
PE1 r | 00 | 10
PE1 | 00 | M
r | 36 | 0
PE1 r | 36 | 0
PE1 r | 36 | 0
r | 36 | 0
PE1 | 36 | S
PE1 r | 36 | 0
PE1 | 36 | E
w | 36 | 1
PE2 | 36 | I
